0000 - *CLS             *CLS        :*CLS
0001 - *ESE             *ESE        :*ESE
0002 - *ESE?            *ESE?       :*ESE?
0003 - *ESR?            *ESR?       :*ESR?
0004 - *IDN?            *IDN?       :*IDN?
0005 - *OPC             *OPC        :*OPC
0006 - *OPC?            *OPC?       :*OPC?
0007 - *RST             *RST        :*RST
0008 - *SRE             *SRE        :*SRE
0009 - *SRE?            *SRE?       :*SRE?
000A - *STB?            *STB?       :*STB?
000B - *TST?            *TST?       :*TST?
000C - *WAI             *WAI        :*WAI
000D - AUToscale        AUT         :AUToscale
000E - RUN              RUN         :RUN
000F - SINGle           SING        :SINGle
0010 - STOP             STOP        :STOP
0011 - TFORce           TFOR        :TFORce
0012 - TLHAlf           TLHA        :TLHAlf
0013 - CLEar            CLE         :CLEar
0014 - AVERages         AVER        :ACQuire:AVERages
0015 - AVERages?        AVER?       :ACQuire:AVERages?
0016 - MODE             MODE        :ACQuire:MODE
0017 - MODE?            MODE?       :ACQuire:MODE?
0018 - SRATe?           SRAT?       :ACQuire:SRATe?
0019 - TYPE             TYPE        :ACQuire:TYPE
001A - TYPE?            TYPE?       :ACQuire:TYPE?
001B - MDEPth           MDEP        :ACQuire:MDEPth
001C - MDEPth?          MDEP?       :ACQuire:MDEPth?
001D - AALias           AAL         :ACQuire:AALias
001E - AALias?          AAL?        :ACQuire:AALias?
001F - MODE             MODE        :BUS<n>:MODE
0020 - MODE?            MODE?       :BUS<n>:MODE?
0021 - DISPlay          DISP        :BUS<n>:DISPlay
0022 - DISPlay?         DISP?       :BUS<n>:DISPlay?
0023 - FORMat           FORM        :BUS<n>:FORMat
0024 - FORMat?          FORM?       :BUS<n>:FORMat?
0025 - EVENt            EVEN        :BUS<n>:EVENt
0026 - EVENt?           EVEN?       :BUS<n>:EVENt?
0027 - EEXPort          EEXP        :BUS<n>:EEXPort
0028 - TX               TX          :BUS<n>:RS232:TX
0029 - TX?              TX?         :BUS<n>:RS232:TX?
002A - RX               RX          :BUS<n>:RS232:RX
002B - RX?              RX?         :BUS<n>:RS232:RX?
002C - POLarity         POL         :BUS<n>:RS232:POLarity
002D - POLarity?        POL?        :BUS<n>:RS232:POLarity?
